name;type;grouping;slug;address;postal_code;city;phone;email;presentation;displayed_headcount;sort_order;lat;lng;is_active
Direction départementale (DDSIS 62);direction;;direction;"Avenue de l'Hermitage, CS 60169";62054;Saint-Laurent-Blangy;03 21 24 49 00;;"Siège du service départemental d'incendie et de secours du Pas-de-Calais.";;0;50.3005;2.8120;oui
Groupement territorial Est;direction;Groupement Est;;"Avenue de l'Hermitage";62054;Saint-Laurent-Blangy;03 21 24 49 00;;"Secteurs de Lens, Arras et Bapaume : bassin minier, autoroutes, stade Bollaert-Delelis.";;1;50.3005;2.8120;oui
Groupement territorial Centre;direction;Groupement Centre;;"18 rue Jean-Joseph-Étienne Lenoir, Parc Porte Nord";62700;Bruay-la-Buissière;03 21 54 96 00;;"Secteurs de Béthune, Bruay-la-Buissière et Saint-Pol-sur-Ternoise.";;2;;;oui
Groupement territorial Ouest;direction;Groupement Ouest;;"12 impasse du Crac-Lot, Longfossé";62240;Desvres;03 21 33 05 00;;"Secteurs de Boulogne, Calais, Saint-Omer et Montreuil : littoral, ports, tunnel sous la Manche.";;3;;;oui
CIS Arras;cis;Groupement Est;;"2 rue Victor Leroy";62000;Arras;03 21 15 27 18;;;;10;;;oui
CIS Avion;cis;Groupement Est;;"18 rue Achille Thumerelle";62210;Avion;03 91 84 25 20;;;;11;;;oui
CIS Bapaume;cis;Groupement Est;;"42 route de Douai";62450;Bapaume;03 21 51 95 90;;;;12;;;oui
CIS Bucquoy;cis;Groupement Est;;"RD 12";62116;Bucquoy;03 21 51 95 70;;;;13;;;oui
CIS Bully-les-Mines;cis;Groupement Est;;"Rue Olof Palme";62160;Bully-les-Mines;03 21 45 81 10;;;;14;;;oui
CIS Haisnes-Vermelles;cis;Groupement Est;;"Rue Simone de Beauvoir";62138;Haisnes;03 21 63 62 30;;;;15;;;oui
CIS Harnes;cis;Groupement Est;;"Chemin Marquois";62440;Harnes;03 21 13 75 60;;;;16;;;oui
CIS Hénin-Beaumont;cis;Groupement Est;;"246 rue du Docteur Laënnec";62110;Hénin-Beaumont;03 21 74 80 18;;;;17;;;oui
CIS Leforest;cis;Groupement Est;;"Rue de Touraine";62790;Leforest;03 21 21 77 80;;;;18;;;oui
CIS Lens;cis;Groupement Est;;"71 bis avenue Raoul Briquet";62300;Lens;03 91 84 01 80;;;;19;;;oui
